Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Molecule 1,OC(=O)C(CC(=O)O)(CC(=O)O)O,C6H8O7,192.12,13,0,0.5,5,7,4,37.47,132.13,-1.49,-1.72,-1.25,-1.48,-1.6,-1.51,0.38,4.63E+02,2.41E+00,Highly soluble,-0.54,5.53E+01,2.88E-01,Very soluble,1.71,9.90E+03,5.15E+01,Soluble,Low,No,No,No,No,No,No,No,-8.69,0,2,0,1,1,0.56,0,0,1,2.18
Molecule 2,OC(C(C(=O)O)O)C(=O)O,C4H6O6,150.09,10,0,0.5,3,6,4,27.21,115.06,-0.83,-1.88,-2.12,-2.18,-1.88,-1.78,0.61,6.14E+02,4.09E+00,Highly soluble,-0.02,1.44E+02,9.63E-01,Very soluble,2.44,4.17E+04,2.78E+02,Soluble,Low,No,No,No,No,No,No,No,-8.55,0,4,0,0,2,0.56,0,0,1,2.57
Molecule 3,OC(=O)CC(C(=O)O)O,C4H6O5,134.09,9,0,0.5,3,5,3,26.05,94.83,-0.01,-1.26,-1.09,-1.37,-1.25,-1,0.32,2.80E+02,2.09E+00,Highly soluble,-0.24,7.80E+01,5.82E-01,Very soluble,1.53,4.51E+03,3.37E+01,Soluble,High,No,No,No,No,No,No,No,-8.01,0,4,0,0,2,0.56,0,0,1,2.27
Molecule 4,OC(=O)CCC(=O)O,C4H6O4,118.09,8,0,0.5,3,4,2,24.89,74.6,0.32,-0.59,-0.06,-0.54,-0.63,-0.3,0,1.17E+02,9.94E-01,Very soluble,-0.51,3.69E+01,3.12E-01,Very soluble,0.61,4.86E+02,4.11E+00,Soluble,High,No,No,No,No,No,No,No,-7.44,0,3,0,0,2,0.85,0,0,1,1.29
Molecule 5,OC(=O)CCCC(=O)O,C5H8O4,132.11,9,0,0.6,4,4,2,29.69,74.6,0.45,-0.29,0.33,-0.13,-0.29,0.01,-0.21,8.10E+01,6.13E-01,Very soluble,-0.82,2.01E+01,1.52E-01,Very soluble,0.19,2.06E+02,1.56E+00,Soluble,High,No,No,No,No,No,No,No,-7.31,0,3,0,0,1,0.85,0,0,1,1.29
Molecule 6,OC(=O)CCCCC(=O)O,C6H10O4,146.14,10,0,0.67,5,4,2,34.5,74.6,0.77,0.08,0.72,0.25,0.08,0.38,-0.47,4.99E+01,3.42E-01,Very soluble,-1.2,9.20E+00,6.30E-02,Very soluble,-0.23,8.71E+01,5.96E-01,Soluble,High,No,No,No,No,No,No,No,-7.13,0,2,0,0,1,0.85,0,0,1,1.17
Molecule 7,OC(=O)CCCCCC(=O)O,C7H12O4,160.17,11,0,0.71,6,4,2,39.31,74.6,0.94,0.61,1.11,0.6,0.47,0.75,-0.82,2.42E+01,1.51E-01,Very soluble,-1.75,2.84E+00,1.78E-02,Very soluble,-0.64,3.67E+01,2.29E-01,Soluble,High,No,No,No,No,No,No,No,-6.84,0,1,0,0,1,0.85,0,0,1,1.37
Molecule 8,OC(=O)CCCCCCC(=O)O,C8H14O4,174.19,12,0,0.75,7,4,2,44.11,74.6,1.15,1.03,1.5,0.93,0.88,1.1,-1.11,1.36E+01,7.82E-02,Very soluble,-2.19,1.13E+00,6.51E-03,Soluble,-1.05,1.54E+01,8.85E-02,Soluble,High,No,No,No,No,No,No,No,-6.63,0,0,0,0,1,0.85,0,0,1,1.47
Molecule 9,OC(=O)CCCCCCCC(=O)O,C9H16O4,188.22,13,0,0.78,8,4,2,48.92,74.6,1.44,1.57,1.89,1.25,1.29,1.49,-1.47,6.41E+00,3.40E-02,Very soluble,-2.75,3.37E-01,1.79E-03,Soluble,-1.46,6.48E+00,3.44E-02,Soluble,High,Yes,No,No,No,No,No,No,-6.33,0,0,0,0,1,0.85,0,0,2,1.57
Molecule 10,OC(=O)CCCCCCCCC(=O)O,C10H18O4,202.25,14,0,0.8,9,4,2,53.73,74.6,1.77,2.11,2.28,1.55,1.71,1.88,-1.83,3.00E+00,1.48E-02,Very soluble,-3.31,9.97E-02,4.93E-04,Soluble,-1.87,2.72E+00,1.35E-02,Soluble,High,Yes,No,No,No,No,No,No,-6.04,0,0,0,0,0,0.85,0,0,2,1.67
Molecule 11,OC(=O)CCCCCCCCCCC(=O)O,C12H22O4,230.3,16,0,0.83,11,4,2,63.34,74.6,1.83,3.19,3.06,2.13,2.56,2.55,-2.55,6.47E-01,2.81E-03,Soluble,-4.43,8.59E-03,3.73E-05,Moderately soluble,-2.68,4.78E-01,2.07E-03,Soluble,High,Yes,No,No,No,No,No,No,-5.44,0,0,1,0,0,0.85,0,0,2,1.87
Molecule 12,Fc1c[nH]c(=O)[nH]c1=O,C4H3FN2O2,130.08,9,6,0,0,3,2,27.64,65.72,0.44,-0.89,-0.38,-0.32,1.78,0.13,-0.58,3.43E+01,2.64E-01,Very soluble,-0.01,1.28E+02,9.82E-01,Very soluble,-1.71,2.54E+00,1.95E-02,Soluble,High,No,No,No,No,No,No,No,-7.73,0,3,0,0,2,0.55,0,0,1,1.52
Molecule 13,Oc1cc2OC(c3cc(O)c(c(c3)O)O)C(C(=O)c2c(c1)O)O,C15H12O8,320.25,23,12,0.13,1,8,6,76.78,147.68,0.9,0.59,0.57,-1.16,0.18,0.22,-2.52,9.73E-01,3.04E-03,Soluble,-3.26,1.74E-01,5.44E-04,Soluble,-1.44,1.16E+01,3.61E-02,Soluble,Low,No,No,No,No,No,No,No,-7.83,1,0,1,1,1,0.55,1,1,0,3.55
Molecule 14,Brc1cnc(c(n1)Br)N,C4H3Br2N3,252.89,9,6,0,0,2,1,41.84,51.8,1.54,1.48,1.59,0.55,1.71,1.37,-2.83,3.71E-01,1.47E-03,Soluble,-2.17,1.69E+00,6.69E-03,Soluble,-3,2.51E-01,9.93E-04,Soluble,High,Yes,No,Yes,No,No,No,No,-6.79,0,1,0,0,1,0.55,0,0,0,2.46
Molecule 15,Nc1ncc(nc1)Br,C4H4BrN3,174,8,6,0,0,2,1,34.14,51.8,1.09,0.73,0.83,-0.26,1.02,0.68,-1.93,2.03E+00,1.16E-02,Very soluble,-1.4,6.98E+00,4.01E-02,Very soluble,-2.14,1.25E+00,7.21E-03,Soluble,High,Yes,No,No,No,No,No,No,-6.84,0,2,0,0,2,0.55,0,0,1,2.38
Molecule 16,Oc1cc(O)c2c(c1)oc(c(c2=O)O)c1ccc(c(c1)O)O,C15H10O7,302.24,22,16,0,1,7,5,78.03,131.36,1.63,1.54,1.99,-0.56,1.54,1.23,-3.16,2.11E-01,6.98E-04,Soluble,-3.91,3.74E-02,1.24E-04,Soluble,-3.24,1.73E-01,5.73E-04,Soluble,High,No,No,Yes,No,No,Yes,Yes,-7.05,0,0,0,0,0,0.55,1,1,0,3.23
Molecule 17,Fc1ccc(c(c1)F)c1ccc(c(c1)C(=O)O)O,C13H8F2O3,250.2,18,12,0,2,5,2,60.78,57.53,1.49,4.44,3.88,3.34,3.23,3.27,-4.55,7.06E-03,2.82E-05,Moderately soluble,-5.37,1.08E-03,4.30E-06,Moderately soluble,-4.28,1.32E-02,5.28E-05,Moderately soluble,High,Yes,No,No,No,No,No,No,-4.67,0,0,0,0,0,0.85,0,0,1,1.96
Molecule 18,OC(=O)Cc1ccc(c(c1)O)O,C8H8O4,168.15,12,6,0.12,2,4,3,42.03,77.76,0.81,0.98,0.72,0.47,0.59,0.71,-1.74,3.07E+00,1.83E-02,Very soluble,-2.2,1.06E+00,6.29E-03,Soluble,-1.02,1.61E+01,9.57E-02,Soluble,High,No,No,No,No,No,No,No,-6.63,0,0,0,0,1,0.56,1,1,1,1.27
Molecule 19,Fc1ccc(c(c1)F)C(Cn1cncn1)(Cn1cncn1)O,C13H12F2N6O,306.27,22,16,0.23,5,7,1,70.71,81.65,0.41,0.35,1.47,1.47,0.71,0.88,-2.17,2.08E+00,6.80E-03,Soluble,-1.63,7.20E+00,2.35E-02,Very soluble,-3.54,8.83E-02,2.88E-04,Soluble,High,No,Yes,No,Yes,No,No,No,-7.92,0,0,0,0,0,0.55,0,0,0,2.45
Molecule 20,Nc1ccc(c(c1)O)C(=O)O,C7H7NO3,153.14,11,6,0,1,3,3,39.83,83.55,0.84,1.32,0.68,-0.7,0.02,0.43,-1.96,1.68E+00,1.10E-02,Very soluble,-2.68,3.23E-01,2.11E-03,Soluble,-0.82,2.31E+01,1.51E-01,Soluble,High,No,No,No,No,No,No,No,-6.3,0,3,0,0,1,0.56,0,1,1,1.04
Molecule 21,Clc1ccc(c(c1)C(=O)Nc1ccc(cc1Cl)[N+](=O)[O-])O,C13H8Cl2N2O4,327.12,21,12,0,4,4,2,81.52,95.15,2.09,5.32,3.67,2.44,1.22,2.95,-5.38,1.37E-03,4.18E-06,Moderately soluble,-7.07,2.78E-05,8.51E-08,Poorly soluble,-4.93,3.87E-03,1.18E-05,Moderately soluble,High,No,No,Yes,Yes,Yes,No,Yes,-4.52,0,0,0,0,1,0.55,0,2,1,2.01
Molecule 22,N#Cc1cccc(c1)O,C7H5NO,119.12,9,6,0,0,2,1,33.18,44.02,1.2,1.7,1.26,0.79,1.34,1.26,-2.14,8.57E-01,7.20E-03,Soluble,-2.24,6.86E-01,5.76E-03,Soluble,-1.86,1.65E+00,1.39E-02,Soluble,High,Yes,No,Yes,No,No,No,Yes,-5.82,0,3,0,0,1,0.55,0,0,1,1.03
